データソース,元の表現,変換後
予報API,くもり,曇り
予報API,くもり一時雨,雨
予報API,くもり一時雨か雪,雪
予報API,くもり一時雪,雪
予報API,くもり一時雪か雨,雪
予報API,くもり後一時雨,雨
予報API,くもり後一時雪,雪
予報API,くもり後時々雨,雨
予報API,くもり後時々雪,雪
予報API,くもり後晴れ,晴れ
予報API,くもり後雨,雨
予報API,くもり後雨か雪,雪
予報API,くもり後雪,雪
予報API,くもり後雪か雨,雪
予報API,くもり時々晴れ,晴れ
予報API,くもり時々雨,雨
予報API,くもり時々雨か雪,雪
予報API,くもり時々雪,雪
予報API,くもり時々雪か雨,雪
予報API,晴れ,晴れ
予報API,晴れ一時雨,雨
予報API,晴れ一時雨か雪,雪
予報API,晴れ一時雪,雪
予報API,晴れ後くもり,晴れ
予報API,晴れ後一時雨,雨
予報API,晴れ後一時雪,雪
予報API,晴れ後時々雪,雪
予報API,晴れ後雨,雨
予報API,晴れ後雨か雪,雪
予報API,晴れ後雪,雪
予報API,晴れ後雪か雨,雪
予報API,晴れ時々くもり,晴れ
予報API,晴れ時々雨,雨
予報API,晴れ時々雨か雪,雪
予報API,晴れ時々雪,雪
予報API,晴れ時々雪か雨,雪
予報API,暴風雪,雪
予報API,雨,雨
予報API,雨か雪,雪
予報API,雨か雪後くもり,雪
予報API,雨か雪後晴れ,雪
予報API,雨で暴風を伴う,雨
予報API,雨後くもり,雨
予報API,雨後晴れ,雨
予報API,雨後雪,雪
予報API,雨時々止む,雨
予報API,雪,雪
予報API,雪か雨,雪
予報API,雪か雨後くもり,雪
予報API,雪か雨後晴れ,雪
予報API,雪一時雨,雪
予報API,雪後くもり,雪
予報API,雪後晴れ,雪
予報API,雪後雨,雪
予報API,雪時々晴れ,雪
予報API,雪時々止む,雪
予報API,風雪強い,雪
気象庁(実測),×,その他
気象庁(実測),みぞれ,その他
気象庁(実測),みぞれ、雷を伴う,雨
気象庁(実測),みぞれ一時晴後曇時々雨,雨
気象庁(実測),みぞれ一時晴後曇時々雪,雪
気象庁(実測),みぞれ一時晴後雨時々曇,雨
気象庁(実測),みぞれ一時晴後雪時々曇,雪
気象庁(実測),みぞれ一時曇,曇り
気象庁(実測),みぞれ一時曇後一時雨,雨
気象庁(実測),みぞれ一時曇後時々雨,雨
気象庁(実測),みぞれ一時曇後時々雨、雷を伴う,雨
気象庁(実測),みぞれ一時曇後時々雪、雷を伴う,雪
気象庁(実測),みぞれ一時曇後晴時々雨,雨
気象庁(実測),みぞれ一時曇後雨,雨
気象庁(実測),みぞれ一時曇後雨、雷を伴う,雨
気象庁(実測),みぞれ一時曇後雨時々雪,雪
気象庁(実測),みぞれ一時曇後雪、雷を伴う,雪
気象庁(実測),みぞれ一時雨,雨
気象庁(実測),みぞれ一時雨、雷を伴う,雨
気象庁(実測),みぞれ一時雨後一時雪,雪
気象庁(実測),みぞれ一時雨後時々雪、雷を伴う,雪
気象庁(実測),みぞれ一時雨後晴,雨
気象庁(実測),みぞれ一時雨後晴、雷を伴う,雨
気象庁(実測),みぞれ一時雨後晴時々曇,雨
気象庁(実測),みぞれ一時雨後晴時々雪,雪
気象庁(実測),みぞれ一時雨後曇,雨
気象庁(実測),みぞれ一時雨後曇、雷を伴う,雨
気象庁(実測),みぞれ一時雨後曇時々晴,雨
気象庁(実測),みぞれ一時雨後曇時々雪,雪
気象庁(実測),みぞれ一時雨後雪,雪
気象庁(実測),みぞれ一時雨後雪、雷を伴う,雪
気象庁(実測),みぞれ一時雨後雪時々曇,雪
気象庁(実測),みぞれ一時雪,雪
気象庁(実測),みぞれ一時雪、雷を伴う,雪
気象庁(実測),みぞれ一時雪後一時曇、大風を伴う,雪
気象庁(実測),みぞれ一時雪後時々曇,雪
気象庁(実測),みぞれ一時雪後時々雨,雪
